Age,Experience,Education,Job Title,Location,Programming Skills,Management Experience,Company Size,Salary
32,5,Bachelor,HR Specialist,Austin,0,0,Medium,52341.28
45,12,Master,Data Scientist,New York,1,1,Large,148729.45
28,3,Bachelor,Software Engineer,San Francisco,1,0,Small,98456.12
39,8,PhD,Product Manager,Chicago,0,1,Large,142387.90
51,22,High School,Sales Representative,Remote,0,0,Medium,45218.76
29,2,Master,Financial Analyst,Boston,1,0,Small,78543.21
36,7,Bachelor,Marketing Manager,Seattle,0,1,Large,92456.78
42,15,PhD,Data Scientist,New York,1,1,Large,189432.56
27,1,Bachelor,Software Engineer,Austin,1,0,Medium,72345.67
48,18,Master,Product Manager,San Francisco,0,1,Large,168943.21
31,4,Bachelor,HR Specialist,Chicago,0,0,Small,48765.43
53,25,High School,Sales Representative,Remote,0,0,Medium,43219.87
35,6,Master,Financial Analyst,Boston,1,1,Large,112345.67
38,9,PhD,Marketing Manager,Seattle,0,1,Large,134567.89
26,0,Bachelor,Software Engineer,Austin,1,0,Small,65432.10
44,13,Master,Data Scientist,New York,1,1,Large,156789.01
30,3,Bachelor,HR Specialist,San Francisco,0,0,Medium,67890.12
47,16,PhD,Product Manager,Chicago,0,1,Large,178901.23
33,5,Master,Financial Analyst,Boston,1,0,Small,87654.32
40,10,Bachelor,Marketing Manager,Seattle,0,1,Medium,102345.67
